study_id,doi,target_pest,nontarget_species,nontarget_order,construct_len_nt,max_contiguous_match_nt,n_21mers_perfect,n_21mers_1mm,n_21mers_2mm,matched_gene,matched_gene_essential,dose_ng_per_uL,exposure_route,duration_days,endpoint,effect_size,control_effect_size,significant,match_source,normalization_rule,notes
bachman_2013,10.1007/s11248-013-9716-5,Diabrotica_virgifera,Diabrotica_virgifera,Coleoptera,240,240,221,,,Snf7,true,0.0012,diet,12,mortality,0.5,0.05,true,reported,NR1_mortality_or_dev;NR2_diet_ngml_to_ul;NR5_NOEC_as_nonsig,LC50 vs WCR; self-match
bachman_2013,10.1007/s11248-013-9716-5,Diabrotica_virgifera,Diabrotica_undecimpunctata,Coleoptera,240,186,186,,,Snf7,true,0.0044,diet,12,mortality,0.5,0.05,true,reported,NR1_mortality_or_dev;NR2_diet_ngml_to_ul;NR5_NOEC_as_nonsig,LC50; 98.8% identity; 186 perfect 21-mers
bachman_2013,10.1007/s11248-013-9716-5,Diabrotica_virgifera,Leptinotarsa_decemlineata,Coleoptera,240,14,0,,,Snf7,true,5.0,diet,12,mortality,0.08,0.08,false,reported,NR1_mortality_or_dev;NR2_diet_ngml_to_ul;NR5_NOEC_as_nonsig,NOEC at 5000; longest contiguous 14 nt
bachman_2013,10.1007/s11248-013-9716-5,Diabrotica_virgifera,Tribolium_castaneum,Coleoptera,240,11,0,,,Snf7,true,5.0,diet,30,mortality,0.1,0.1,false,reported,NR1_mortality_or_dev;NR2_diet_ngml_to_ul;NR5_NOEC_as_nonsig,NOEC; longest contiguous 11 nt
bachman_2013,10.1007/s11248-013-9716-5,Diabrotica_virgifera,Coleomegilla_maculata,Coleoptera,240,12,0,,,Snf7,true,3.0,diet,24,mortality,0.0,0.0,false,inferred,NR1_mortality_or_dev;NR2_diet_ngml_to_ul;NR5_NOEC_as_nonsig,NOEC; ladybeetle; no 21-mer matches reported
bachman_2013,10.1007/s11248-013-9716-5,Diabrotica_virgifera,Epilachna_varivestis,Coleoptera,240,12,0,,,Snf7,true,3.0,diet,28,mortality,0.08,0.08,false,inferred,NR1_mortality_or_dev;NR2_diet_ngml_to_ul;NR5_NOEC_as_nonsig,NOEC; survival 92% both arms
bachman_2013,10.1007/s11248-013-9716-5,Diabrotica_virgifera,Poecilus_chalcites,Coleoptera,240,12,0,,,Snf7,true,5.0,diet,35,mortality,0.05,0.05,false,inferred,NR1_mortality_or_dev;NR2_diet_ngml_to_ul;NR5_NOEC_as_nonsig,NOEC carabid
bachman_2013,10.1007/s11248-013-9716-5,Diabrotica_virgifera,Orius_insidiosus,Hemiptera,240,12,0,,,Snf7,true,5.0,diet,9,development,0.0,0.0,false,inferred,NR1_mortality_or_dev;NR2_diet_ngml_to_ul;NR5_NOEC_as_nonsig,100% survival both arms
bachman_2013,10.1007/s11248-013-9716-5,Diabrotica_virgifera,Pediobius_foveolatus,Hymenoptera,240,12,0,,,Snf7,true,3.0,diet,21,mortality,0.0,0.0,false,inferred,NR1_mortality_or_dev;NR2_diet_ngml_to_ul;NR5_NOEC_as_nonsig,parasitoid NOEC
bachman_2013,10.1007/s11248-013-9716-5,Diabrotica_virgifera,Nasonia_vitripennis,Hymenoptera,240,14,0,,,Snf7,true,5.0,diet,20,mortality,0.05,0.03,false,reported,NR1_mortality_or_dev;NR2_diet_ngml_to_ul;NR5_NOEC_as_nonsig,longest contiguous <=14 nt; survival NS
